date,close
01-01-2008,3220.99
02-01-2008,3282.05
03-01-2008,3284.43
04-01-2008,3306.04
07-01-2008,3330.91
08-01-2008,3258.37
09-01-2008,3224.84
10-01-2008,3100.45
11-01-2008,3088.44
14-01-2008,3131.36
15-01-2008,3098.75
16-01-2008,3043.59
17-01-2008,3049.86
18-01-2008,2886.93
21-01-2008,2519.38
22-01-2008,2300.05
23-01-2008,2498.84
24-01-2008,2406.45
25-01-2008,2574.09
28-01-2008,2568.09
29-01-2008,2577.19
30-01-2008,2502.63
31-01-2008,2464.25
01-02-2008,2477.82
04-02-2008,2560.82
05-02-2008,2588.34
06-02-2008,2559.37
07-02-2008,2488.11
08-02-2008,2434.08
11-02-2008,2287.85
12-02-2008,2235.05
13-02-2008,2245.3
14-02-2008,2373.14
15-02-2008,2431.06
18-02-2008,2435.81
19-02-2008,2445.78
20-02-2008,2403.72
21-02-2008,2426.84
22-02-2008,2401.53
25-02-2008,2399.83
26-02-2008,2432.15
27-02-2008,2440.56
28-02-2008,2437.94
29-02-2008,2440.62
03-03-2008,2336.79
04-03-2008,2274.25
05-03-2008,2246.04
07-03-2008,2141.92
10-03-2008,2138.71
11-03-2008,2233.12
12-03-2008,2209.49
13-03-2008,2067.92
14-03-2008,2086.62
17-03-2008,1928.76
18-03-2008,1900.02
19-03-2008,1884.65
24-03-2008,1845.31
25-03-2008,1953.43
26-03-2008,1983.97
27-03-2008,1976.67
28-03-2008,2054.34
31-03-2008,2021.36
01-04-2008,2008.89
02-04-2008,2020.4
03-04-2008,2015.38
04-04-2008,1980.22
07-04-2008,2001.87
08-04-2008,2007.97
09-04-2008,2030.57
10-04-2008,2039.52
11-04-2008,2054.44
15-04-2008,2081.79
16-04-2008,2110.82
17-04-2008,2157.77
21-04-2008,2204.63
22-04-2008,2226.17
23-04-2008,2233.58
24-04-2008,2208.22
25-04-2008,2228.01
28-04-2008,2237.93
29-04-2008,2264.26
30-04-2008,2265.53
02-05-2008,2298.03
05-05-2008,2318.39
06-05-2008,2288.37
07-05-2008,2277.27
08-05-2008,2259.76
09-05-2008,2204.78
12-05-2008,2189.31
13-05-2008,2193.46
14-05-2008,2210.07
15-05-2008,2237.9
16-05-2008,2253.44
20-05-2008,2240.89
21-05-2008,2261.85
22-05-2008,2221.53
23-05-2008,2187.32
26-05-2008,2131.14
27-05-2008,2110.8
28-05-2008,2133.98
29-05-2008,2126.75
30-05-2008,2127.69
02-06-2008,2070.91
03-06-2008,2059.87
04-06-2008,2001.17
05-06-2008,1997.54
06-06-2008,1985.08
09-06-2008,1922.78
10-06-2008,1901.04
11-06-2008,1922.96
12-06-2008,1934.07
13-06-2008,1930.25
16-06-2008,1951.95
17-06-2008,1987.94
18-06-2008,1973.88
19-06-2008,1926.58
20-06-2008,1864.13
23-06-2008,1795.02
24-06-2008,1760.06
25-06-2008,1769.1
26-06-2008,1759.56
27-06-2008,1706.14
30-06-2008,1649.12
01-07-2008,1568.3
02-07-2008,1634.89
03-07-2008,1585.94
04-07-2008,1622.02
07-07-2008,1642.13
08-07-2008,1643.22
09-07-2008,1697.21
10-07-2008,1697.28
11-07-2008,1660.46
14-07-2008,1655.72
15-07-2008,1599.92
16-07-2008,1571.41
17-07-2008,1591.74
18-07-2008,1620.26
21-07-2008,1629.26
22-07-2008,1659.43
23-07-2008,1756.84
24-07-2008,1756.88
25-07-2008,1750.17
28-07-2008,1767.91
29-07-2008,1718.05
30-07-2008,1757.25
31-07-2008,1751.12
01-08-2008,1781.74
04-08-2008,1815.36
05-08-2008,1840.88
06-08-2008,1839.43
07-08-2008,1847.75
08-08-2008,1854.64
11-08-2008,1891.49
12-08-2008,1869.74
13-08-2008,1866.92
14-08-2008,1826.85
18-08-2008,1809.55
19-08-2008,1801.59
20-08-2008,1820.79
21-08-2008,1779.86
22-08-2008,1777.79
25-08-2008,1785.61
26-08-2008,1783.55
27-08-2008,1764.74
28-08-2008,1740.74
29-08-2008,1788.39
01-09-2008,1790.52
02-09-2008,1825.74
04-09-2008,1817.8
05-09-2008,1793.15
08-09-2008,1814.08
09-09-2008,1803.42
10-09-2008,1784.37
11-09-2008,1761.05
12-09-2008,1726.39
15-09-2008,1648.24
16-09-2008,1624.63
17-09-2008,1602.04
18-09-2008,1582.31
19-09-2008,1632.83
22-09-2008,1625.84
23-09-2008,1592.5
24-09-2008,1597.88
25-09-2008,1583.49
26-09-2008,1533.07
29-09-2008,1472.04
30-09-2008,1495.38
01-10-2008,1501.07
03-10-2008,1460.99
06-10-2008,1366.07
07-10-2008,1334.61
08-10-2008,1259.08
10-10-2008,1164.74
13-10-2008,1218.4
14-10-2008,1232.16
15-10-2008,1179.46
16-10-2008,1168.35
17-10-2008,1132.14
20-10-2008,1126.34
21-10-2008,1154.68
22-10-2008,1118.29
23-10-2008,1082.89
24-10-2008,994.14
27-10-2008,955.7
28-10-2008,1010.65
29-10-2008,989.11
31-10-2008,1026.44
03-11-2008,1077.61
04-11-2008,1112.39
05-11-2008,1101.63
06-11-2008,1075.58
07-11-2008,1091.52
10-11-2008,1133.43
11-11-2008,1093.78
12-11-2008,1070.66
14-11-2008,1049.11
17-11-2008,1021.11
18-11-2008,1000.12
19-11-2008,980.32
20-11-2008,946.79
21-11-2008,954.75
24-11-2008,953.79
25-11-2008,944.66
26-11-2008,946.71
28-11-2008,951.5
01-12-2008,938.63
02-12-2008,927.41
03-12-2008,936.18
04-12-2008,973.96
05-12-2008,960.22
08-12-2008,957.23
10-12-2008,981.22
11-12-2008,1000.99
12-12-2008,1013.84
15-12-2008,1054.58
16-12-2008,1077.04
17-12-2008,1044.73
18-12-2008,1073.06
19-12-2008,1100.45
22-12-2008,1097.41
23-12-2008,1069.9
24-12-2008,1062.48
26-12-2008,1051.07
29-12-2008,1064.27
30-12-2008,1086.78
31-12-2008,1091.51
01-01-2009,1119.07
02-01-2009,1143.67
05-01-2009,1162.46
06-01-2009,1155.78
07-01-2009,1076.29
09-01-2009,1048.33
12-01-2009,1029.36
13-01-2009,1016.99
14-01-2009,1035.75
15-01-2009,1019.28
16-01-2009,1028.99
19-01-2009,1036.12
20-01-2009,1030.06
21-01-2009,1014.33
22-01-2009,994.34
23-01-2009,979.83
27-01-2009,985.16
28-01-2009,998.95
29-01-2009,996.14
30-01-2009,1005.7
02-02-2009,993.12
03-02-2009,987.07
04-02-2009,986.59
05-02-2009,980.13
06-02-2009,997.07
09-02-2009,1010.66
10-02-2009,1023.82
11-02-2009,1025.43
