date,close
01-01-2008,6477.59
02-01-2008,6513.67
03-01-2008,6482.09
04-01-2008,6603.97
07-01-2008,6778.92
08-01-2008,6747.76
09-01-2008,6703.22
10-01-2008,6469.9
11-01-2008,6413.06
14-01-2008,6448.43
15-01-2008,6321.21
16-01-2008,6180.54
17-01-2008,6284.05
18-01-2008,6140.23
21-01-2008,5716.47
22-01-2008,5249.96
23-01-2008,5589.33
24-01-2008,5426.98
25-01-2008,5715.15
28-01-2008,5687.97
29-01-2008,5830.42
30-01-2008,5668.02
31-01-2008,5674
01-02-2008,5794.76
04-02-2008,5876.93
05-02-2008,5842.21
06-02-2008,5711
07-02-2008,5545.42
08-02-2008,5683.87
11-02-2008,5334.49
12-02-2008,5315.01
13-02-2008,5441.91
14-02-2008,5614.54
15-02-2008,5722.65
18-02-2008,5833.55
19-02-2008,5897.48
20-02-2008,5778.08
21-02-2008,5801.81
22-02-2008,5772.01
25-02-2008,5772.34
26-02-2008,5804.54
27-02-2008,5829.58
28-02-2008,5809.19
29-02-2008,5881.53
03-03-2008,5742.51
04-03-2008,5611.85
05-03-2008,5726.42
07-03-2008,5662.27
10-03-2008,5645.68
11-03-2008,5720.56
12-03-2008,5663.53
13-03-2008,5532.43
14-03-2008,5635.55
17-03-2008,5445.54
18-03-2008,5475.55
19-03-2008,5503.07
24-03-2008,5603.94
25-03-2008,5729.37
26-03-2008,5735.32
27-03-2008,5824.92
28-03-2008,5918.83
31-03-2008,5817.72
01-04-2008,5933.72
02-04-2008,5885.47
03-04-2008,5961.57
04-04-2008,5863.92
07-04-2008,6105.82
08-04-2008,6082.05
09-04-2008,6040.41
10-04-2008,5999.73
11-04-2008,5935.08
15-04-2008,6069.54
16-04-2008,6092.38
17-04-2008,6054.62
21-04-2008,6047.61
22-04-2008,6087.27
23-04-2008,6064.83
24-04-2008,6112.8
25-04-2008,6161.35
28-04-2008,6136.94
29-04-2008,6159.24
30-04-2008,6228.03
02-05-2008,6268.46
05-05-2008,6266.17
06-05-2008,6310.67
07-05-2008,6346.89
08-05-2008,6194.9
09-05-2008,6201.99
12-05-2008,6218.77
13-05-2008,6244.59
14-05-2008,6224.54
15-05-2008,6196.13
16-05-2008,6273.96
20-05-2008,6240.26
21-05-2008,6242.67
22-05-2008,6149.4
23-05-2008,6038.73
26-05-2008,5877.18
27-05-2008,5896.9
28-05-2008,6119.11
29-05-2008,6044.64
30-05-2008,6091.79
02-06-2008,6044.19
03-06-2008,6024.84
04-06-2008,5920.27
05-06-2008,6068.79
06-06-2008,5942.5
09-06-2008,5805.78
10-06-2008,5729.96
11-06-2008,5696.85
12-06-2008,5704.61
13-06-2008,5648.55
16-06-2008,5709.55
17-06-2008,5786.57
18-06-2008,5799.87
19-06-2008,5758.98
20-06-2008,5604.24
23-06-2008,5528.11
24-06-2008,5390.97
25-06-2008,5351.37
26-06-2008,5388.02
27-06-2008,5199.29
30-06-2008,5202.74
01-07-2008,5045.88
02-07-2008,5030.31
03-07-2008,4828.82
04-07-2008,4903.78
07-07-2008,5062.29
08-07-2008,4977.67
09-07-2008,5206.42
10-07-2008,5186.65
11-07-2008,5080.49
14-07-2008,5034.89
15-07-2008,4855.32
16-07-2008,4880.18
17-07-2008,4968.11
18-07-2008,5089.4
21-07-2008,5174.86
22-07-2008,5395.07
23-07-2008,5463.14
24-07-2008,5394.17
25-07-2008,5416.21
28-07-2008,5433.11
29-07-2008,5440.2
30-07-2008,5453.48
31-07-2008,5444.04
01-08-2008,5408.62
04-08-2008,5414.78
05-08-2008,5499.7
06-08-2008,5554.03
07-08-2008,5575.01
08-08-2008,5561.45
11-08-2008,5627.63
12-08-2008,5656.68
13-08-2008,5666.42
14-08-2008,5577.32
18-08-2008,5524.94
19-08-2008,5471.86
20-08-2008,5463.79
21-08-2008,5386.89
22-08-2008,5455.76
25-08-2008,5477.1
26-08-2008,5516.51
27-08-2008,5495.01
28-08-2008,5438.27
29-08-2008,5553.64
01-09-2008,5568.38
02-09-2008,5650.52
04-09-2008,5544.89
05-09-2008,5564.7
08-09-2008,5702.74
09-09-2008,5650.33
10-09-2008,5639.69
11-09-2008,5573.73
12-09-2008,5559.15
15-09-2008,5476.78
16-09-2008,5483.99
17-09-2008,5347.6
18-09-2008,5367.72
19-09-2008,5498.47
22-09-2008,5571.19
23-09-2008,5506.9
24-09-2008,5529.6
25-09-2008,5460.38
26-09-2008,5517.86
29-09-2008,5489.43
30-09-2008,5450.79
01-10-2008,5517.92
03-10-2008,5499.84
06-10-2008,5280.53
07-10-2008,5188.48
08-10-2008,4924.1
10-10-2008,4673.04
13-10-2008,4855.46
14-10-2008,4904.84
15-10-2008,4725.9
16-10-2008,4808.13
17-10-2008,4713.59
20-10-2008,4807.29
21-10-2008,4953.02
22-10-2008,4982.38
23-10-2008,4898.68
24-10-2008,4602.27
27-10-2008,4362.96
28-10-2008,4519.01
29-10-2008,4401.42
31-10-2008,4606.12
03-11-2008,4807.62
04-11-2008,5027.05
05-11-2008,4935.42
06-11-2008,4921.08
07-11-2008,5026.9
10-11-2008,5063.03
11-11-2008,4993.88
12-11-2008,4874.22
14-11-2008,4860.81
17-11-2008,4796.92
18-11-2008,4714.83
19-11-2008,4760.85
20-11-2008,4726.65
21-11-2008,4778.04
24-11-2008,4853.72
25-11-2008,4845.81
26-11-2008,4879.2
28-11-2008,4916.84
01-12-2008,4785.53
02-12-2008,4828.51
03-12-2008,4831.85
04-12-2008,4981.3
05-12-2008,4895.09
08-12-2008,4926.83
10-12-2008,4974.35
11-12-2008,4981.68
12-12-2008,4977.57
15-12-2008,5024
16-12-2008,5094.68
17-12-2008,5063.97
18-12-2008,5184.66
19-12-2008,5288.23
22-12-2008,5273.13
23-12-2008,5185.03
24-12-2008,5122.72
26-12-2008,5065.89
29-12-2008,5089.76
30-12-2008,5106.21
31-12-2008,5090.13
01-01-2009,5111.5
02-01-2009,5146.9
05-01-2009,5109.61
06-01-2009,5172
07-01-2009,5052.57
09-01-2009,5095.23
12-01-2009,5054.89
13-01-2009,5038.88
14-01-2009,5069.18
15-01-2009,4977.28
16-01-2009,5026.7
19-01-2009,5039.04
20-01-2009,4993.77
21-01-2009,5056.86
22-01-2009,4990.64
23-01-2009,4917.35
27-01-2009,4977.72
28-01-2009,5087.85
29-01-2009,5055.23
30-01-2009,5164.24
02-02-2009,5122.48
03-02-2009,5173.06
04-02-2009,5182.93
05-02-2009,5161.68
06-02-2009,5186.42
09-02-2009,5214.63
10-02-2009,5184.75
11-02-2009,5191.21
12-02-2009,5156.11
13-02-2009,5188.5
16-02-2009,5167.11
17-02-2009,5112.35
18-02-2009,5109.82
19-02-2009,5083.23
20-02-2009,5066.76
24-02-2009,5068.53
25-02-2009,5077.39
26-02-2009,5129.92
27-02-2009,5136.7
02-03-2009,5015.34
03-03-2009,4892.35
04-03-2009,4897.46
05-03-2009,4738.15
06-03-2009,4673.48
09-03-2009,4550.77
12-03-2009,4660.21
13-03-2009,4747.36
16-03-2009,4876.78
17-03-2009,4902.82
18-03-2009,4856.12
19-03-2009,4835.11
20-03-2009,4845.82
23-03-2009,4952.76
24-03-2009,4961.3
25-03-2009,4971.06
26-03-2009,5102.45
27-03-2009,5124.23
30-03-2009,5055.37
31-03-2009,5134.66
01-04-2009,5117.6
02-04-2009,5103.7
06-04-2009,5008.91
08-04-2009,5229.25
09-04-2009,5151.46
13-04-2009,5161.07
15-04-2009,5217.64
16-04-2009,5285.98
17-04-2009,5267.85
20-04-2009,5233.75
21-04-2009,5319.31
22-04-2009,5317.76
23-04-2009,5328.66
24-04-2009,5342.91
27-04-2009,5321.34
28-04-2009,5199.57
29-04-2009,5299.81
