date,close
01-01-2008,4748.2
02-01-2008,4722.5
03-01-2008,4616.85
04-01-2008,4592.5
07-01-2008,4460.95
08-01-2008,4506.35
09-01-2008,4529.1
10-01-2008,4432.2
11-01-2008,4404.35
14-01-2008,4268.15
15-01-2008,4195.4
16-01-2008,4173.3
17-01-2008,4138.15
18-01-2008,4060
21-01-2008,3786.15
22-01-2008,3626.5
23-01-2008,3819.8
24-01-2008,3726.05
25-01-2008,3948.15
28-01-2008,3800.75
29-01-2008,3864.9
30-01-2008,3846.65
31-01-2008,3838.15
01-02-2008,4074.15
04-02-2008,4257.35
05-02-2008,4192.55
06-02-2008,3976.45
07-02-2008,3846.25
08-02-2008,3961.05
11-02-2008,3956.15
12-02-2008,3880.15
13-02-2008,3874.8
14-02-2008,3921.6
15-02-2008,3956.6
18-02-2008,3903.65
19-02-2008,3937.85
20-02-2008,3943.95
21-02-2008,4110.25
22-02-2008,4017.3
25-02-2008,4082.7
26-02-2008,4138.95
27-02-2008,4058.6
28-02-2008,4062.35
29-02-2008,3984.5
03-03-2008,3825.1
04-03-2008,3782
05-03-2008,3902.75
07-03-2008,3762.05
10-03-2008,3701.4
11-03-2008,3669.05
12-03-2008,3621.3
13-03-2008,3439.5
14-03-2008,3530.7
17-03-2008,3405.95
18-03-2008,3440.35
19-03-2008,3501.15
24-03-2008,3563.25
25-03-2008,3831.55
26-03-2008,3831.05
27-03-2008,3735.1
28-03-2008,3904.7
31-03-2008,3704.95
01-04-2008,3674.85
02-04-2008,3760.15
03-04-2008,3882.7
04-04-2008,3801.6
07-04-2008,3892.2
08-04-2008,3830
09-04-2008,3826.65
10-04-2008,3825.9
11-04-2008,3824.65
15-04-2008,4033
16-04-2008,4160.1
17-04-2008,4304.2
21-04-2008,4277.3
22-04-2008,4053.35
23-04-2008,4097.2
24-04-2008,4137.6
25-04-2008,4165.6
28-04-2008,4129.2
29-04-2008,4318.6
30-04-2008,4357.65
02-05-2008,4458.5
05-05-2008,4392.55
