release_date,actual,forecast,previous
12-11-2013,0.1009,0.099,0.0984
14-10-2013,0.0984,0.096,0.0952
12-09-2013,0.0952,0.0955,0.0964
12-08-2013,0.0964,0.097,0.0987
12-07-2013,0.0987,0.0929,0.0931
12-06-2013,0.0931,0.0905,0.0939
14-09-2011,0.098,0.092,0.092
16-08-2011,0.092,0.091,0.094
14-07-2011,0.094,0.09,0.091
18-06-2011,0.091,,0.087
01-04-2011,0.087,0.098,0.093
01-03-2011,0.093,0.091,0.095
02-02-2011,0.095,0.082,0.083
30-12-2010,0.083,0.093,0.097
24-12-2010,0.097,0.096,0.098
01-11-2010,0.098,0.092,0.099
01-10-2010,0.099,0.1,0.113
02-09-2010,0.113,0.104,0.137
02-08-2010,0.137,0.137,0.139
30-06-2010,0.139,0.132,0.133
